UserPrincipalName,sAMAccountName,DisplayName,Ext.5,Ext.6,Ext.3,whenCreated,LastSignInDateTime,AccountEnabled
aiya.walker@contoso.com,aiya.walker,Aiya Walker,SPE_E3,2,1,2021-10-14,2026-04-12T17:00:00Z,TRUE
anika.taylor@contoso.com,anika.taylor,Anika Taylor,SPE_E3,2,0,2023-01-16,2026-05-04T13:33:00Z,TRUE
anthony.young@contoso.com,anthony.young,Anthony Young,ENTERPRISEPACK,5,1,2025-06-18,2026-05-15T15:01:00Z,TRUE
anthony.young2@contoso.com,anthony.young2,Anthony Young,SPE_E3,2,1,2021-09-27,2026-05-23T10:49:00Z,TRUE
ashley.lewis@contoso.com,ashley.lewis,Ashley Lewis,SPE_E5,1,1,2026-02-04,,TRUE
ashley.wilson@contoso.com,ashley.wilson,Ashley Wilson,SPE_E3,3,1,2021-06-14,2026-04-29T15:25:00Z,TRUE
brian.harris@contoso.com,brian.harris,Brian Harris,SPE_E3,5,0,2022-07-13,2026-05-03T20:11:00Z,TRUE
carol.adams@contoso.com,carol.adams,Carol Adams,SPE_E5,1,1,2021-11-24,2025-10-21T18:00:00Z,TRUE
carol.ramirez@contoso.com,carol.ramirez,Carol Ramirez,SPE_E3,2,1,2024-12-05,2026-05-21T09:40:00Z,TRUE
charles.allen@contoso.com,charles.allen,Charles Allen,SPE_E3,6,1,2021-10-18,,TRUE
charles.hernandez@contoso.com,charles.hernandez,Charles Hernandez,ENTERPRISEPACK,4,1,2022-12-16,,TRUE
christopher.carter@contoso.com,christopher.carter,Christopher Carter,SPE_E5,8,1,2023-03-25,,TRUE
christopher.nelson@contoso.com,christopher.nelson,Christopher Nelson,SPE_E5,8,1,2022-08-25,2026-05-15T01:42:00Z,TRUE
christopher.taylor@contoso.com,christopher.taylor,Christopher Taylor,SPE_E3,2,1,2024-03-02,2026-05-07T14:31:00Z,TRUE
christopher.young@contoso.com,christopher.young,Christopher Young,SPE_E5,1,1,2021-09-21,2026-04-11T23:00:00Z,TRUE
daniel.hall@contoso.com,daniel.hall,Daniel Hall,SPE_E3,4,1,2025-09-16,2026-04-06T21:00:00Z,TRUE
daniel.wilson@contoso.com,daniel.wilson,Daniel Wilson,M365_F3,6,1,2023-04-01,2025-08-01T05:00:00Z,TRUE
david.robinson@contoso.com,david.robinson,David Robinson,SPE_E5,1,1,2022-05-09,2025-10-14T08:00:00Z,TRUE
deborah.martinez@contoso.com,deborah.martinez,Deborah Martinez,SPE_E5,8,1,2021-11-25,2026-03-01T11:00:00Z,TRUE
deborah.mitchell@contoso.com,deborah.mitchell,Deborah Mitchell,SPE_E5,5,1,2025-02-24,2025-06-21T17:00:00Z,FALSE
deborah.wright@contoso.com,deborah.wright,Deborah Wright,SPE_E5,8,1,2022-03-31,2026-05-04T05:12:00Z,TRUE
donald.adams@contoso.com,donald.adams,Donald Adams,STANDARDPACK,6,1,2025-11-12,2026-05-15T01:45:00Z,TRUE
donna.mitchell@contoso.com,donna.mitchell,Donna Mitchell,SPE_E3,5,0,2023-02-10,2026-04-28T07:50:00Z,TRUE
edward.johnson@contoso.com,edward.johnson,Edward Johnson,SPE_E5,8,1,2022-11-26,2026-05-23T08:18:00Z,TRUE
edward.lopez@contoso.com,edward.lopez,Edward Lopez,SPE_E3,5,1,2024-09-17,2026-03-25T05:00:00Z,TRUE
edward.wilson@contoso.com,edward.wilson,Edward Wilson,M365_F1,6,1,2025-07-04,2026-05-10T21:50:00Z,TRUE
elizabeth.green@contoso.com,elizabeth.green,Elizabeth Green,ENTERPRISEPACK,2,1,2023-01-16,2026-01-24T12:00:00Z,FALSE
elizabeth.taylor@contoso.com,elizabeth.taylor,Elizabeth Taylor,ENTERPRISEPACK,2,1,2022-03-14,2026-04-29T05:35:00Z,TRUE
emily.rodriguez@contoso.com,emily.rodriguez,Emily Rodriguez,SPE_E3,2,1,2025-05-30,2026-05-18T11:25:00Z,TRUE
george.davis@contoso.com,george.davis,George Davis,STANDARDPACK,6,1,2022-01-28,2026-05-24T14:33:00Z,TRUE
george.king@contoso.com,george.king,George King,SPE_E5,8,1,2023-05-15,2026-03-28T11:00:00Z,TRUE
hiroshi.hill@contoso.com,hiroshi.hill,Hiroshi Hill,STANDARDPACK,4,1,2022-02-25,2026-04-14T02:00:00Z,TRUE
hiroshi.robinson@contoso.com,hiroshi.robinson,Hiroshi Robinson,SPE_E5,1,1,2021-12-20,2026-03-20T03:00:00Z,TRUE
james.clark@contoso.com,james.clark,James Clark,ENTERPRISEPACK,4,1,2026-03-16,2026-05-05T14:16:00Z,TRUE
james.king@contoso.com,james.king,James King,SPE_E5,8,1,2024-02-09,2026-05-03T16:16:00Z,TRUE
jessica.baker@contoso.com,jessica.baker,Jessica Baker,SPE_E3,3,0,2026-02-16,2026-05-12T04:06:00Z,TRUE
